CMDLINE C:\Users\goblo\AppData\Local\Programs\Python\Python313\python.exe main.py
MEM 2.000000 1738517370.0599
MEM 13.679688 1738517370.1603
MEM 23.531250 1738517370.2610
MEM 38.808594 1738517370.3613
MEM 50.750000 1738517370.4619
MEM 86.277344 1738517370.5624
MEM 98.832031 1738517370.6625
MEM 110.421875 1738517370.7632
MEM 110.421875 1738517370.8639
MEM 110.425781 1738517370.9643
MEM 110.425781 1738517371.0661
MEM 110.433594 1738517371.1663
MEM 110.484375 1738517371.2670
MEM 113.277344 1738517371.3676
MEM 113.277344 1738517371.4681
MEM 113.277344 1738517371.5687
MEM 113.296875 1738517371.6693
MEM 113.296875 1738517371.7700
MEM 113.300781 1738517371.8719
MEM 115.082031 1738517371.9751
MEM 125.843750 1738517372.0753
MEM 127.871094 1738517372.1756
MEM 127.871094 1738517372.2758
MEM 127.871094 1738517372.3763
MEM 127.871094 1738517372.4768
MEM 127.871094 1738517372.5776
MEM 127.875000 1738517372.6782
MEM 127.875000 1738517372.7784
MEM 127.875000 1738517372.8787
MEM 127.875000 1738517372.9789
MEM 127.875000 1738517373.0792
MEM 127.875000 1738517373.1798
MEM 127.875000 1738517373.2802
MEM 127.875000 1738517373.3811
MEM 127.875000 1738517373.4816
MEM 127.875000 1738517373.5821
MEM 127.875000 1738517373.6824
MEM 127.875000 1738517373.7826
MEM 127.882812 1738517373.8828
MEM 127.882812 1738517373.9834
MEM 127.882812 1738517374.0840
MEM 127.886719 1738517374.1844
MEM 127.886719 1738517374.2850
MEM 127.890625 1738517374.3856
MEM 127.941406 1738517374.4859
MEM 127.941406 1738517374.5865
MEM 127.953125 1738517374.6868
MEM 127.964844 1738517374.7896
MEM 127.972656 1738517374.8901
MEM 127.972656 1738517374.9907
MEM 127.972656 1738517375.0911
MEM 127.972656 1738517375.1918
MEM 127.972656 1738517375.2924
MEM 127.972656 1738517375.3929
MEM 128.000000 1738517375.4959
MEM 128.000000 1738517375.5963
MEM 128.000000 1738517375.6969
MEM 128.000000 1738517375.7975
MEM 128.000000 1738517375.8982
MEM 128.000000 1738517375.9984
MEM 128.000000 1738517376.0987
MEM 128.000000 1738517376.1989
MEM 128.000000 1738517376.2996
MEM 128.000000 1738517376.3998
MEM 128.000000 1738517376.5005
MEM 128.000000 1738517376.6008
MEM 127.878906 1738517376.7014
MEM 127.882812 1738517376.8017
MEM 127.882812 1738517376.9019
MEM 127.882812 1738517377.0024
MEM 127.882812 1738517377.1029
MEM 127.882812 1738517377.2036
MEM 127.882812 1738517377.3044
MEM 127.882812 1738517377.4054
MEM 127.882812 1738517377.5060
MEM 127.890625 1738517377.6064
MEM 127.890625 1738517377.7067
MEM 127.890625 1738517377.8074
MEM 127.890625 1738517377.9080
MEM 127.890625 1738517378.0082
MEM 127.890625 1738517378.1084
MEM 127.890625 1738517378.2090
MEM 127.890625 1738517378.3094
MEM 127.890625 1738517378.4096
MEM 127.890625 1738517378.5099
MEM 127.890625 1738517378.6102
MEM 127.890625 1738517378.7107
MEM 127.890625 1738517378.8114
MEM 127.890625 1738517378.9118
MEM 127.890625 1738517379.0123
MEM 127.890625 1738517379.1125
MEM 127.890625 1738517379.2129
MEM 127.890625 1738517379.3132
MEM 127.890625 1738517379.4136
MEM 127.890625 1738517379.5138
MEM 127.890625 1738517379.6140
MEM 127.902344 1738517379.7142
MEM 127.910156 1738517379.8145
MEM 127.910156 1738517379.9147
MEM 127.910156 1738517380.0150
MEM 127.910156 1738517380.1155
MEM 127.910156 1738517380.2159
MEM 127.910156 1738517380.3162
MEM 127.910156 1738517380.4164
MEM 127.910156 1738517380.5167
MEM 127.910156 1738517380.6170
MEM 127.910156 1738517380.7174
MEM 127.910156 1738517380.8177
MEM 127.910156 1738517380.9184
MEM 127.910156 1738517381.0189
MEM 127.910156 1738517381.1193
MEM 128.570312 1738517381.2202
MEM 128.574219 1738517381.3209
MEM 128.574219 1738517381.4222
MEM 128.574219 1738517381.5226
MEM 128.574219 1738517381.6230
MEM 128.574219 1738517381.7234
MEM 128.574219 1738517381.8239
MEM 128.574219 1738517381.9241
MEM 128.636719 1738517382.0247
MEM 128.636719 1738517382.1250
MEM 128.636719 1738517382.2256
MEM 128.652344 1738517382.3263
MEM 128.652344 1738517382.4265
MEM 128.652344 1738517382.5270
MEM 128.652344 1738517382.6273
MEM 128.652344 1738517382.7279
MEM 128.652344 1738517382.8285
MEM 128.652344 1738517382.9289
MEM 128.664062 1738517383.0292
MEM 128.664062 1738517383.1298
MEM 128.664062 1738517383.2305
MEM 128.664062 1738517383.3310
MEM 128.664062 1738517383.4313
MEM 128.664062 1738517383.5320
MEM 128.664062 1738517383.6324
MEM 128.664062 1738517383.7327
MEM 128.664062 1738517383.8334
MEM 128.664062 1738517383.9338
MEM 128.664062 1738517384.0341
MEM 128.664062 1738517384.1344
MEM 128.664062 1738517384.2346
MEM 128.664062 1738517384.3348
MEM 128.664062 1738517384.4355
MEM 128.667969 1738517384.5359
MEM 128.667969 1738517384.6362
MEM 128.667969 1738517384.7364
MEM 128.667969 1738517384.8372
MEM 128.667969 1738517384.9392
MEM 128.667969 1738517385.0394
MEM 128.667969 1738517385.1398
MEM 128.667969 1738517385.2405
MEM 108.507812 1738517385.3408
